p,Métrica,n,MAE (m),MAPE (%),RMSE (m),Viés médio (m),Tortuosidade média,Tortuosidade mediana
2.51,d_2.51,10000,2857.7374159425895,26.340507524478674,3398.6327457743573,-2857.7374159425895,1.3975404035153345,1.3264638767821197
2.52,d_2.52,10000,2862.0283589396254,26.378470489751844,3403.223779009826,-2862.0283589396254,1.3982896356196854,1.3270897918904945
2.53,d_2.53,10000,2866.2711727589485,26.416002697683,3407.7692170124783,-2866.2711727589485,1.3990316520377157,1.3274079467201485
2.54,d_2.54,10000,2870.4665794576354,26.453110650233562,3412.269653438436,-2870.4665794576354,1.3997665450921981,1.3281666695041676
2.55,d_2.55,10000,2874.615287510083,26.48980072667866,3416.725672761715,-2874.615287510083,1.4004944056386193,1.3286796629523774
2.56,d_2.56,10000,2878.7179921157617,26.526079186391172,3421.137850425059,-2878.7179921157617,1.4012153230929432,1.3291297845807002
2.57,d_2.57,10000,2882.775375498579,26.56195217154984,3425.5067529885437,-2882.775375498579,1.4019293854587305,1.3300979472305456
2.58,d_2.58,10000,2886.7881071984807,26.597425709777152,3429.8329382763377,-2886.7881071984807,1.402636679353691,1.3311947976717777
2.59,d_2.59,10000,2890.7568443553487,26.63250571670739,3434.116955521392,-2890.7568443553487,1.4033372900356549,1.3319744370175612
2.6,d_2.6,10000,2894.682231985436,26.66719799848722,3438.359345508083,-2894.682231985436,1.4040313014279788,1.3326925868969015
2.61,d_2.61,10000,2898.5649032505935,26.701508254210978,3442.560640712806,-2898.5649032505935,1.404718796144404,1.333576035196256
2.62,d_2.62,10000,2902.4054797205267,26.735442078292824,3446.7213654425527,-2902.4054797205267,1.4053998555133846,1.3342605739032605
2.63,d_2.63,10000,2906.2045716281987,26.769004962776968,3450.8420359713723,-2906.2045716281987,1.4060745596018844,1.3351405359903419
2.64,d_2.64,10000,2909.962778118738,26.802202299588966,3454.923160674867,-2909.962778118738,1.4067429872386794,1.3361410604081914
2.65,d_2.65,10000,2913.680687491843,26.835039382728265,3458.9652401625394,-2913.680687491843,1.407405216037145,1.33671120898733
2.66,d_2.66,10000,2917.358877438074,26.86752141040527,3462.9687674081724,-2917.358877438074,1.408061322417575,1.3373302418841568
2.67,d_2.67,10000,2920.997915269054,26.89965348712345,3466.93422787812,-2920.997915269054,1.408711381629014,1.3381184095514185
2.68,d_2.68,10000,2924.5983581418895,26.931440625708994,3470.8620996576337,-2924.5983581418895,1.409355467770641,1.3386891928250484
2.69,d_2.69,10000,2928.160753277816,26.96288774928823,3474.752853575067,-2928.160753277816,1.4099936538126858,1.3393044158161032
2.7,d_2.7,10000,2931.685638175473,26.99399969321643,3478.6069533242307,-2931.685638175473,1.4106260116169265,1.3398332496836853
2.71,d_2.71,10000,2935.1735408186555,27.024781206956646,3482.424855584591,-2935.1735408186555,1.4112526119567326,1.34041354944662
2.72,d_2.72,10000,2938.6249798790127,27.055236955912726,3486.20701013963,-2938.6249798790127,1.41187352453671,1.3409021779497041
2.73,d_2.73,10000,2942.0404649136253,27.08537152321611,3489.9538599931984,-2942.0404649136253,1.4124888180119253,1.3416327997207897
2.74,d_2.74,10000,2945.4204965576605,27.115189411467924,3493.6658414839044,-2945.4204965576605,1.413098560006728,1.3419037378987855
2.75,d_2.75,10000,2948.765566712363,27.14469504443896,3497.343384397696,-2948.765566712363,1.4137028171331993,1.3425172299176267
2.76,d_2.76,10000,2952.0761587282473,27.17389276872619,3500.9869120783756,-2952.0761587282473,1.4143016550091907,1.3431710479435899
2.77,d_2.77,10000,2955.352747583964,27.20278685537013,3504.59684153642,-2955.352747583964,1.4148951382760202,1.3438664591019056
2.78,d_2.78,10000,2958.5958000606724,27.231381501431514,3508.1735835558247,-2958.5958000606724,1.4154833306157828,1.3444617823587959
2.79,d_2.79,10000,2961.8057749122145,27.25968083152998,3511.717542799173,-2961.8057749122145,1.4160662947683176,1.3451360949216347
2.8,d_2.8,10000,2964.9831230311497,27.287688899345323,3515.2291179108897,-2964.9831230311497,1.416644092547824,1.3456508355459933
2.81,d_2.81,10000,2968.1282876107557,27.315409689082166,3518.7087016186974,-2968.1282876107557,1.4172167848591364,1.346158771344558
2.82,d_2.82,10000,2971.241704303187,27.342847116899932,3522.1566808333737,-2971.241704303187,1.4177844317136805,1.3465482834153797
2.83,d_2.83,10000,2974.323801373693,27.37000503230712,3525.573436746634,-2974.323801373693,1.418347092245079,1.347116711003609
2.84,d_2.84,10000,2977.37499985134,27.39688721952392,3528.959344927497,-2977.37499985134,1.4189048247244762,1.347764260718486
2.85,d_2.85,10000,2980.3957136759623,27.423497398810763,3532.3147754167894,-2980.3957136759623,1.4194576865755242,1.3483826260091187
2.86,d_2.86,10000,2983.386349841714,27.44983922776602,3535.6400928200733,-2983.386349841714,1.4200057343890806,1.3490052488779014
2.87,d_2.87,10000,2986.3473085372502,27.475916302593273,3538.9356563989813,-2986.3473085372502,1.4205490239376195,1.3496028149647035
2.88,d_2.88,10000,2989.2789832824633,27.501732159337408,3542.201820160785,-2989.2789832824633,1.421087610189327,1.350039937341102
2.89,d_2.89,10000,2992.1817610621733,27.52729027509305,3545.4389329465535,-2992.1817610621733,1.4216215473219471,1.3506921189736802
2.9,d_2.9,10000,2995.0560224565775,27.552594069183826,3548.6473385176414,-2995.0560224565775,1.4221508887363328,1.3512141481283453
2.91,d_2.91,10000,2997.902141768694,27.57764690431425,3551.8273756406725,-2997.902141768694,1.4226756870697328,1.3518464121414855
2.92,d_2.92,10000,3000.720487148822,27.60245208769478,3554.9793781710023,-3000.720487148822,1.423195994208815,1.3523950327327345
2.93,d_2.93,10000,3003.511420716101,27.6270128721405,3558.1036751346614,-3003.511420716101,1.4237118613024278,1.3529523638518928
2.94,d_2.94,10000,3006.275298677352,27.651332457145262,3561.200590808943,-3006.275298677352,1.4242233387741279,1.3537209415715488
2.95,d_2.95,10000,3009.0124714430526,27.67541398992988,3564.270444801404,-3009.0124714430526,1.424730476334437,1.3541074956320296
2.96,d_2.96,10000,3011.7232837407637,27.69926056646728,3567.3135521275753,-3011.7232837407637,1.4252333229928797,1.354509244694606
2.97,d_2.97,10000,3014.4080747258654,27.72287523248328,3570.330223287176,-3014.4080747258654,1.4257319270697695,1.3550205644975328
2.98,d_2.98,10000,3017.0671780898524,27.74626098443528,3573.3207643390483,-3017.0671780898524,1.4262263362077785,1.3556076236417576
2.99,d_2.99,10000,3019.7009221661383,27.769420770468493,3576.285476974709,-3019.7009221661383,1.4267165973832765,1.355883830967676
3.0,d_3,10000,3022.3096300334473,27.792357491350185,3579.224658590571,-3022.3096300334473,1.4272027569174497,1.356207978931149
3.01,d_3.01,10000,3024.893619616864,27.815074001382904,3582.138602358846,-3024.893619616864,1.4276848604872,1.3570169064351871
3.02,d_3.02,10000,3027.4532037866848,27.837573109297715,3585.027597297258,-3027.4532037866848,1.4281629531358475,1.3576210985652646
3.03,d_3.03,10000,3029.9886904550067,27.859857579126988,3587.891928337448,-3029.9886904550067,1.4286370792836216,1.3580493411790653
3.04,d_3.04,10000,3032.500382670067,27.881930131056816,3590.73187639205,-3032.500382670067,1.4291072827379296,1.3585401979745808
3.05,d_3.05,10000,3034.9885787087155,27.903793442262593,3593.5477184208116,-3034.9885787087155,1.4295736067034754,1.3590068892681706
3.06,d_3.06,10000,3037.4535721665657,27.925450147723524,3596.339727495234,-3037.4535721665657,1.4300360937921335,1.3594695632266744
3.07,d_3.07,10000,3039.895652046349,27.946902841020957,3599.108172862259,-3039.895652046349,1.430494786032672,1.3598386776357858
3.08,d_3.08,10000,3042.3151028442408,27.968154075118292,3601.8533200067227,-3042.3151028442408,1.4309497248802754,1.3601561551508827
3.09,d_3.09,10000,3044.7122046342806,27.989206363123657,3604.575430712679,-3044.7122046342806,1.431400951225886,1.3605165233968486
