origin,target,origin_x,origin_y,target_x,target_y,d_graph_m,d_L1_m,d_L1_25_m,d_L1_5_m,d_L1_54_m,d_L1_75_m,d_L2_m,d_L3_m,d_L5_m,d_L10_m,d_Linf_m,tortuosity_dG_dL2
8204382580,8266668592,287453.5005642987,7470761.087069886,288467.6831292015,7471324.653929396,1675.674672478873,1577.7494244126137,1387.6260184267796,1277.801248243364,1264.5373556987545,1207.796735821015,1160.2473357394933,1069.1562053754405,1024.7089103840237,1014.4669201119265,1014.1825649028178,1.4442391900955047
1037554069,4479204018,284598.0212779549,7473658.388223818,288800.74027731334,7472037.477397611,6443.594057186046,5823.629825564625,5196.800990803625,4849.5289444107575,4808.832787090914,4639.171654466579,4504.4643293160525,4281.59950128339,4209.867694139082,4202.749605164157,4202.718999358418,1.430490639086585
5156177953,9634565184,287966.0419259261,7472273.31187003,289193.82107588893,7471539.832548903,2431.7425881116574,1961.258471089648,1721.0139602100921,1581.3736680698748,1564.4324242378661,1491.6734993214523,1430.18654573594,1309.4793029855957,1245.9198980436272,1228.488184803114,1227.779149962822,1.7002974859201605
4231994879,8144992843,288818.81128344196,7472420.725606902,285517.2921994929,7477744.409714094,8515.484749011757,8625.20319114183,7560.537254795169,6939.906348687302,6864.450820936479,6539.7800020922305,6264.314865558468,5717.137743666601,5417.953384544108,5328.146716065247,5323.684107192792,1.3593641015445024
993376183,8277343313,287282.9960447773,7474879.4344734475,286642.1389865208,7474493.883732356,895.6534795634255,1026.4077993478277,900.4913939842891,827.262281799676,818.3744319766254,780.1893022806812,747.8951417633524,684.3538691661032,650.6545400183267,641.2540248805028,640.8570582564571,1.197565580452489
8204382580,1606407565,287453.5005642987,7470761.087069886,285904.73529117793,7477900.927846918,8445.066254763828,8688.606050152855,7973.579803136703,7612.973858608057,7573.417675030683,7417.116106118918,7305.888049552559,7164.050328208585,7140.526455456021,7139.84094171905,7139.840777032077,1.1559260417740778
1040638286,914749188,288019.58970631054,7469815.33240975,286833.0975197599,7475979.719016386,6965.838838389236,7350.87879318709,6785.461051421187,6506.7026832204365,6476.600788455663,6359.105099436544,6277.533428411563,6179.003808678128,6164.712255112853,6164.386649653448,6164.386606636457,1.1096458374657892
5419179006,7071369646,288162.11049143167,7475470.374232772,287641.02672624105,7472121.442676809,4693.170105367083,3870.01532115374,3608.2849296630466,3484.5971354694575,3471.623560078352,3422.101551650809,3389.228652196662,3353.13150757971,3348.992639866112,3348.9315587487245,3348.9315559631214,1.3847310367582597
5189491687,994679809,289390.626845537,7472201.149952985,285162.60011551355,7474928.171995135,6596.321372257894,6955.048772173119,6090.129015693592,5584.506548110152,5522.905956840677,5257.365280459559,5031.188651617321,4576.645971109976,4318.463445300376,4233.2654383941635,4228.026730023441,1.3110860730967515
4230311096,998967624,286545.72071743646,7477655.518342372,288898.9771885889,7471432.640379143,7954.740441786793,8576.1344343815,7659.891467776565,7153.650632865653,7094.439719964123,6847.990731255362,6652.971228275594,6333.091481732638,6232.473556151446,6222.915181772309,6222.8779632290825,1.1956673445360155
1037554069,922094026,284598.0212779549,7473658.388223818,287192.66766296566,7474074.994201655,3431.27050461012,3011.2523628477356,2803.5578925363698,2704.7763542549733,2694.369697444119,2654.5135209021337,2627.8794500545146,2598.221587122444,2594.701761603795,2594.646387965699,2594.6463850107393,1.3057183823782097
5419178464,998932487,285978.6249412555,7477715.731621096,288102.7331155562,7471487.840395498,9260.55798276971,8351.999399898516,7495.7389885013445,7029.613616544452,6975.668120947267,6753.103413821755,6580.156886732213,6309.187350479884,6233.629070816934,6227.904490161586,6227.891225597821,1.4073460773316937
1067977659,2825575098,286882.258130052,7478720.548927069,288782.9552036511,7475344.552858239,8556.967308089801,5276.693142428761,4638.852258740243,4269.970281202744,4225.381057693509,4034.493599335707,3874.2739735776995,3565.9327242744507,3413.353375996465,3377.0747352517956,3375.9960688296705,2.208663446738091
8266476420,1620569385,285263.42857124464,7474240.447433115,285384.919804484,7479450.657505309,6849.65348860594,5331.701305433584,5248.1557995998255,5222.570717202777,5220.56968787096,5214.351449016893,5211.626340802665,5210.232091380388,5210.21007937769,5210.210072194229,5210.210072194226,1.314302492290918
